Year,Fatal,Intent,Injury,Counts,Population,Crude Rate,Age-Adjusted Rate
2001,1,Suicide,Cut/Pierce,458,284968955,0.16,0.160644024
2002,1,Suicide,Cut/Pierce,566,287625193,0.2,0.19580661
2003,1,Suicide,Cut/Pierce,571,290107933,0.2,0.194522855
2004,1,Suicide,Cut/Pierce,590,292805298,0.2,0.197895094
2005,1,Suicide,Cut/Pierce,590,295516599,0.2,0.196673932
2006,1,Suicide,Cut/Pierce,598,298379912,0.2,0.195834477
2007,1,Suicide,Cut/Pierce,619,301231207,0.21,0.197631276
2008,1,Suicide,Cut/Pierce,666,304093966,0.22,0.211250094
2009,1,Suicide,Cut/Pierce,669,306771529,0.22,0.209556041
2010,1,Suicide,Cut/Pierce,673,308747508,0.22,0.208274232
2011,1,Suicide,Cut/Pierce,660,311663358,0.21,0.201561526
2012,1,Suicide,Cut/Pierce,730,313998379,0.23,0.219002599
2013,1,Suicide,Cut/Pierce,783,316204908,0.25,0.232403208
2014,1,Suicide,Cut/Pierce,740,318563456,0.23,0.219477392
2015,1,Suicide,Cut/Pierce,763,320896618,0.24,0.220872271
2016,1,Suicide,Cut/Pierce,864,323127513,0.27,0.249767737
2001,0,Self-harm,Cut/Pierce,62817,284968955,22.04,21.84307028
2002,0,Self-harm,Cut/Pierce,62310,287625193,21.66,21.50995594
2003,0,Self-harm,Cut/Pierce,68910,290107933,23.75,23.67138391
2004,0,Self-harm,Cut/Pierce,79638,292805298,27.2,27.2264431
2005,0,Self-harm,Cut/Pierce,78867,295516599,26.69,26.56802984
2006,0,Self-harm,Cut/Pierce,77058,298379912,25.83,25.85356532
2007,0,Self-harm,Cut/Pierce,77024,301231207,25.57,25.76421859
2008,0,Self-harm,Cut/Pierce,75976,304093966,24.98,25.14665289
2009,0,Self-harm,Cut/Pierce,81452,306771529,26.55,26.90094551
2010,0,Self-harm,Cut/Pierce,93321,308745538,30.23,30.85047394
2011,0,Self-harm,Cut/Pierce,102305,311663358,32.83,33.70958299
2012,0,Self-harm,Cut/Pierce,108199,313998379,34.46,35.41605817
2013,0,Self-harm,Cut/Pierce,109862,316204908,34.74,36.29472883
2014,0,Self-harm,Cut/Pierce,112845,318563456,35.42,37.00012157
2015,0,Self-harm,Cut/Pierce,113736,320896618,35.44,37.06659387
2016,0,Self-harm,Cut/Pierce,115005,323127513,35.59,37.46631188
2001,1,Suicide,Firearm,16869,284968955,5.92,5.904599253
2002,1,Suicide,Firearm,17108,287625193,5.95,5.915756834
2003,1,Suicide,Firearm,16907,290107933,5.83,5.770637382
2004,1,Suicide,Firearm,16750,292805298,5.72,5.647095397
2005,1,Suicide,Firearm,17002,295516599,5.75,5.655766502
2006,1,Suicide,Firearm,16883,298379912,5.66,5.539856206
2007,1,Suicide,Firearm,17352,301231207,5.76,5.625321386
2008,1,Suicide,Firearm,18223,304093966,5.99,5.815118121
2009,1,Suicide,Firearm,18735,306771529,6.11,5.90956224
2010,1,Suicide,Firearm,19392,308747508,6.28,6.059874365
2011,1,Suicide,Firearm,19990,311663358,6.41,6.156244809
2012,1,Suicide,Firearm,20666,313998379,6.58,6.287918387
2013,1,Suicide,Firearm,21175,316204908,6.7,6.3773901
2014,1,Suicide,Firearm,21386,318563456,6.71,6.358067411
2015,1,Suicide,Firearm,22018,320896618,6.86,6.497064908
2016,1,Suicide,Firearm,22938,323127513,7.1,6.719473672
2001,0,Self-harm,Firearm,3267,284968955,1.15,1.143044308
2002,0,Self-harm,Firearm,3295,287625193,1.15,1.15050695
2003,0,Self-harm,Firearm,3687,290107933,1.27,1.251951727
2004,0,Self-harm,Firearm,3352,292805298,1.14,1.128456621
2005,0,Self-harm,Firearm,3082,295516599,1.04,1.066952116
2006,0,Self-harm,Firearm,3190,298379912,1.07,1.024430005
2007,0,Self-harm,Firearm,4291,301231207,1.42,1.41587742
2008,0,Self-harm,Firearm,3797,304093966,1.25,1.219833913
2009,0,Self-harm,Firearm,3013,306771529,0.98,0.960622331
2010,0,Self-harm,Firearm,4643,308745538,1.5,1.463706843
2011,0,Self-harm,Firearm,3224,311663358,1.03,0.994809867
2012,0,Self-harm,Firearm,4086,313998379,1.3,1.22698517
2013,0,Self-harm,Firearm,3991,316204908,1.26,1.270051733
2014,0,Self-harm,Firearm,3320,318563456,1.04,1.044712973
2015,0,Self-harm,Firearm,3878,320896618,1.21,1.109140298
2016,0,Self-harm,Firearm,4357,323127513,1.35,1.3015139
2001,1,Suicide,Poisoning,5191,284968955,1.82,1.817675907
2002,1,Suicide,Poisoning,5486,287625193,1.91,1.899269188
2003,1,Suicide,Poisoning,5462,290107933,1.88,1.870930882
2004,1,Suicide,Poisoning,5800,292805298,1.98,1.960153703
2005,1,Suicide,Poisoning,5744,295516599,1.94,1.915112379
2006,1,Suicide,Poisoning,6109,298379912,2.05,2.003076566
2007,1,Suicide,Poisoning,6358,301231207,2.11,2.053873021
2008,1,Suicide,Poisoning,6442,304093966,2.12,2.068802206
2009,1,Suicide,Poisoning,6398,306771529,2.09,2.02374302
2010,1,Suicide,Poisoning,6599,308747508,2.14,2.056316746
2011,1,Suicide,Poisoning,6564,311663358,2.11,2.024697571
2012,1,Suicide,Poisoning,6729,313998379,2.14,2.051857485
2013,1,Suicide,Poisoning,6637,316204908,2.1,1.999756984
2014,1,Suicide,Poisoning,6808,318563456,2.14,2.048592536
2015,1,Suicide,Poisoning,6816,320896618,2.12,2.02406585
2016,1,Suicide,Poisoning,6698,323127513,2.07,1.970129921
2001,0,Self-harm,Poisoning,215814,284968955,75.73,75.34486821
2002,0,Self-harm,Poisoning,214987,287625193,74.75,74.43426242
2003,0,Self-harm,Poisoning,273898,290107933,94.41,94.36689997
2004,0,Self-harm,Poisoning,272275,292805298,92.99,93.00007257
2005,0,Self-harm,Poisoning,207199,295516599,70.11,70.45672852
2006,0,Self-harm,Poisoning,216358,298379912,72.51,72.95111082
2007,0,Self-harm,Poisoning,197733,301231207,65.64,66.23562673
2008,0,Self-harm,Poisoning,200397,304093966,65.9,66.69203543
2009,0,Self-harm,Poisoning,209977,306771529,68.45,69.3597686
2010,0,Self-harm,Poisoning,266176,308745538,86.21,87.58467522
2011,0,Self-harm,Poisoning,282314,311663358,90.58,92.06287943
2012,0,Self-harm,Poisoning,265537,313998379,84.57,86.20832631
2013,0,Self-harm,Poisoning,260175,316204908,82.28,83.84281895
2014,0,Self-harm,Poisoning,242085,318563456,75.99,78.09829376
2015,0,Self-harm,Poisoning,263822,320896618,82.21,84.19289531
2016,0,Self-harm,Poisoning,266175,323127513,82.37,84.63180422
2001,0,Self-harm,Suffocation,2761,284968955,0.97,0.9603275
2002,0,Self-harm,Suffocation,2788,287625193,0.97,0.955109684
2003,0,Self-harm,Suffocation,1613,290107933,0.56,0.560499335
2004,0,Self-harm,Suffocation,1348,292805298,0.46,0.464582015
2005,0,Self-harm,Suffocation,2171,295516599,0.73,0.756187552
2006,0,Self-harm,Suffocation,1467,298379912,0.49,0.506322578
2007,0,Self-harm,Suffocation,2264,301231207,0.75,0.741810902
2008,0,Self-harm,Suffocation,1952,304093966,0.64,0.636724025
2009,0,Self-harm,Suffocation,2527,306771529,0.82,0.867386132
2010,0,Self-harm,Suffocation,3019,308745538,0.98,1.008690965
2011,0,Self-harm,Suffocation,4195,311663358,1.35,1.370061414
2012,0,Self-harm,Suffocation,3855,313998379,1.23,1.226617074
2013,0,Self-harm,Suffocation,2838,316204908,0.9,0.936768425
2014,0,Self-harm,Suffocation,3142,318563456,0.99,1.021032399
2015,0,Self-harm,Suffocation,2989,320896618,0.93,0.95050272
2016,0,Self-harm,Suffocation,4091,323127513,1.27,1.279498838
2001,1,Suicide,Suffocation,6198,284968955,2.17,2.165944671
2002,1,Suicide,Suffocation,6462,287625193,2.25,2.235617758
2003,1,Suicide,Suffocation,6635,290107933,2.29,2.278759164
2004,1,Suicide,Suffocation,7336,292805298,2.51,2.497176495
2005,1,Suicide,Suffocation,7248,295516599,2.45,2.445882935
2006,1,Suicide,Suffocation,7491,298379912,2.51,2.506956741
2007,1,Suicide,Suffocation,8161,301231207,2.71,2.709476765
2008,1,Suicide,Suffocation,8578,304093966,2.82,2.81898472
2009,1,Suicide,Suffocation,9000,306771529,2.93,2.938788543
2010,1,Suicide,Suffocation,9493,308747508,3.07,3.057706945
2011,1,Suicide,Suffocation,9913,311663358,3.18,3.18546991
2012,1,Suicide,Suffocation,10088,313998379,3.21,3.228244848
2013,1,Suicide,Suffocation,10062,316204908,3.18,3.185373183
2014,1,Suicide,Suffocation,11407,318563456,3.58,3.573525863
2015,1,Suicide,Suffocation,11855,320896618,3.69,3.707770516
2016,1,Suicide,Suffocation,11642,323127513,3.6,3.630401844
